"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13722.58cfa832e4b0c9d6adf6d2f2",0,10,0,0,0,0,9,0,5,0,0,0,4519,0,0,2,20,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d330",0,3,0,0,0,0,8,0,3,0,0,0,3242,0,0,2,10,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2c8",0,2,0,0,0,0,6,0,4,0,0,0,2538,0,0,4,17,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d16c",2,7,1,0,0,0,6,0,10,0,0,0,8071,0,1,3,10,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d526",0,1,0,0,0,0,3,0,4,0,0,0,2157,0,0,0,11,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d151",0,2,0,0,0,0,10,0,5,0,0,0,1622,0,0,0,19,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d28e",1,5,0,0,0,0,6,0,8,0,0,0,8430,0,2,2,15,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d36a",0,6,1,0,0,0,9,0,13,0,0,0,7537,0,0,1,26,0,0,0,1
"13722.58cfa832e4b0c9d6adf6d4ff",2,4,1,0,0,0,12,0,10,0,0,0,4258,0,2,0,25,0,0,0,1
"13722.58cfa832e4b0c9d6adf6d3b0",1,7,0,0,0,0,10,0,8,0,0,0,6396,0,1,1,18,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d166",1,1,2,0,0,0,2,0,12,0,2,2,6912,0,0,2,4,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d1e0",1,2,0,0,0,0,21,0,3,0,0,0,4909,0,0,0,25,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2b0",2,7,0,0,0,0,19,0,8,0,1,0,8905,0,2,2,12,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2b4",0,2,0,0,0,0,2,0,3,0,0,0,1831,0,0,0,5,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2ba",4,2,0,0,0,0,0,0,3,0,0,0,4375,0,0,1,1,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2c0",4,14,1,0,0,0,22,0,10,0,0,0,7586,0,0,0,8,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2ca",0,9,0,0,0,0,12,0,10,0,0,0,6847,0,1,2,9,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2d2",0,0,0,0,0,0,6,0,3,0,0,0,3921,0,0,2,3,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2dc",1,5,0,0,0,0,16,0,9,0,0,0,6646,0,0,1,37,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2de",0,16,2,0,0,0,5,0,5,0,0,0,3757,0,0,0,6,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2ec",2,10,1,0,0,0,10,0,17,0,0,0,16010,1,2,1,8,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2f0",0,2,0,0,0,0,4,0,6,0,0,0,3542,0,0,2,7,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2f4",0,2,0,0,0,0,2,0,8,0,0,0,2892,0,0,2,4,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2f7",2,11,1,0,0,0,16,0,11,0,0,0,10230,0,1,2,9,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d307",2,4,1,0,0,0,3,0,9,0,0,0,8214,0,2,0,6,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d30f",0,0,0,0,0,0,0,0,3,0,0,0,2736,0,0,0,0,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d31b",2,6,1,0,0,0,8,0,13,0,0,0,8926,0,1,4,13,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d326",2,3,0,0,0,0,24,0,8,0,0,0,6157,0,0,2,29,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d328",0,2,0,0,0,0,3,0,8,0,2,0,3705,0,1,0,4,0,0,0,1
"13722.58cfa832e4b0c9d6adf6d32c",0,6,1,0,0,0,9,0,11,0,0,0,5935,0,1,2,19,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d33c",0,4,0,0,0,0,4,0,4,0,0,0,6692,0,0,2,14,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d39a",1,3,3,1,0,0,5,0,12,1,0,0,8913,0,2,0,9,0,0,0,1
"13722.58cfa832e4b0c9d6adf6d3b8",0,0,0,0,0,0,1,0,3,0,0,0,3662,0,0,3,4,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d144",1,8,0,0,0,0,11,0,10,0,0,0,1890,0,0,1,31,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d161",3,7,1,0,0,0,3,0,11,0,0,0,9541,0,1,2,7,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2d6",1,8,1,0,0,0,3,0,10,0,0,0,7378,0,1,0,9,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2d8",2,10,2,0,0,0,12,0,15,0,0,0,12533,1,2,3,6,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2bd",2,3,0,0,0,0,8,0,8,0,0,0,5320,0,0,0,27,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2f5",3,14,3,0,0,0,14,0,15,0,2,0,21284,0,3,2,26,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d300",1,3,0,0,0,0,8,0,9,0,0,0,5779,0,0,1,31,0,0,1,0
"13722.58cfa832e4b0c9d6adf6d30a",0,3,0,0,0,0,2,0,5,0,1,0,2422,0,0,1,5,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d313",0,0,0,0,0,0,12,0,3,0,0,0,3667,0,0,0,3,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d319",2,9,2,0,0,0,30,0,18,0,0,0,13850,0,2,2,29,0,0,0,1
"13722.58cfa832e4b0c9d6adf6d26a",16,10,1,0,0,0,3,0,7,0,0,0,6476,0,1,1,4,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d32a",1,7,0,0,0,0,187,0,7,0,0,0,8259,0,2,2,5,0,0,1,0
"13722.58cfa832e4b0c9d6adf6d31d",6,6,2,0,0,0,37,0,8,0,0,0,6259,0,0,0,28,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d324",0,5,0,0,0,0,4,0,7,0,0,0,8521,0,1,2,8,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d342",2,8,0,0,0,0,5,0,9,0,0,0,8376,0,1,2,4,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d36c",5,16,4,1,0,0,27,0,25,0,0,0,17430,0,4,2,30,0,0,1,0
"13722.58cfa832e4b0c9d6adf6d3c2",1,4,0,0,0,0,11,0,5,0,0,0,5529,0,0,3,28,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d3d3",1,6,0,0,0,0,9,0,7,0,0,0,8564,0,0,1,30,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d394",1,3,0,0,0,0,23,0,5,0,0,0,7711,0,0,3,23,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d356",1,5,0,0,0,0,24,0,7,0,0,0,7459,0,0,3,30,0,0,1,0
"13722.58cfa832e4b0c9d6adf6d33e",10,40,4,0,0,0,25,0,24,1,0,0,16643,1,2,2,35,0,0,2,0
"13722.58cfa832e4b0c9d6adf6d344",1,10,0,0,0,0,11,0,7,0,0,0,5885,0,1,4,17,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d505",0,3,0,0,0,0,9,0,4,0,0,0,2485,0,0,0,18,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d168",3,2,0,0,0,0,1,0,2,0,0,0,5364,0,0,1,4,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d164",3,12,4,0,0,0,10,0,16,0,5,3,19753,0,3,2,7,0,0,1,1
"13722.58cfa832e4b0c9d6adf6d291",2,30,1,0,0,0,8,0,21,0,2,0,21326,0,4,3,11,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d29a",0,2,0,0,0,0,1,0,6,0,0,0,3014,0,0,4,6,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d296",0,1,0,0,0,0,2,0,4,0,0,0,3606,0,0,0,8,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2a0",2,16,1,0,0,0,11,0,19,0,0,0,15982,0,3,1,12,0,0,2,1
"13722.58cfa832e4b0c9d6adf6d29d",2,13,1,0,0,0,2,0,10,0,0,0,11970,0,2,1,10,0,0,1,0
"13722.58cfa832e4b0c9d6adf6d2b8",3,15,0,0,0,0,18,0,28,0,0,0,9300,0,0,0,7,0,0,2,0
"13722.58cfa832e4b0c9d6adf6d2d4",2,2,0,0,0,0,4,0,7,0,0,0,4822,0,0,3,7,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2c4",1,2,0,0,0,0,2,0,4,0,0,0,5596,0,0,1,8,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2b6",1,16,1,0,0,0,11,0,12,0,0,0,11324,0,2,5,9,0,0,0,1
"13722.58cfa832e4b0c9d6adf6d2d0",2,8,2,0,0,0,6,0,16,1,0,0,26467,0,3,2,14,0,0,2,1
"13722.58cfa832e4b0c9d6adf6d2da",6,14,3,0,0,0,9,0,19,0,0,1,23202,1,3,3,8,0,0,3,1
"13722.58cfa832e4b0c9d6adf6d2e0",6,30,3,0,0,0,4,0,17,0,3,0,13099,0,2,0,7,0,0,1,1
"13722.58cfa832e4b0c9d6adf6d2f9",0,5,0,0,0,0,11,0,4,0,0,0,2421,0,0,0,6,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2e6",2,3,0,0,0,0,3,0,5,0,0,0,9928,0,0,6,9,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2e2",12,10,3,0,0,0,8,0,12,0,0,0,12196,0,1,2,9,0,0,0,1
"13722.58cfa832e4b0c9d6adf6d2fa",4,31,1,0,0,0,17,0,19,0,0,0,14660,0,4,0,11,0,0,1,1
"13722.58cfa832e4b0c9d6adf6d2fe",3,20,0,0,0,0,12,0,7,0,2,0,4679,0,0,0,9,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d2fc",1,2,0,0,0,0,10,0,4,0,0,0,10292,0,1,0,10,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d320",8,47,1,0,0,0,21,0,33,0,0,0,12044,0,2,1,14,0,0,3,0
"13722.58cfa832e4b0c9d6adf6d311",0,5,0,0,0,0,5,0,6,0,0,0,6717,0,0,2,11,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d30e",2,4,0,0,0,0,5,0,6,0,0,0,10712,0,2,0,8,0,0,1,0
"13722.58cfa832e4b0c9d6adf6d317",7,18,3,0,0,0,5,0,16,0,0,0,18382,0,10,1,9,0,0,0,1
"13722.58cfa832e4b0c9d6adf6d332",5,3,0,0,0,0,3,0,4,0,0,0,3047,0,0,0,9,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d338",1,2,0,0,0,0,9,0,4,0,0,0,3588,0,0,4,6,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d32e",0,3,0,0,0,0,24,0,7,0,0,0,6603,0,0,5,6,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d334",3,7,3,0,0,0,47,0,9,0,1,0,6618,0,0,7,12,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d354",0,1,1,0,0,0,8,0,9,0,0,2,9962,2,0,3,9,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d33a",0,1,0,0,0,0,4,0,4,0,0,0,5701,0,0,1,7,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d51c",2,1,3,0,0,0,21,0,9,0,0,0,9162,0,0,2,10,0,0,0,0
"13722.58cfa832e4b0c9d6adf6d4fc",6,26,2,1,0,0,22,0,19,0,0,3,17051,1,3,2,12,0,0,1,2
"13722.58cfa832e4b0c9d6adf6d523",4,30,1,0,0,0,10,0,19,0,0,0,7863,0,2,4,10,0,0,1,0
"13722.58cfa832e4b0c9d6adf6d5b8",1,29,2,1,0,0,20,0,27,1,0,0,14841,0,4,4,16,0,0,1,1
"13722.58cfa832e4b0c9d6adf6d2aa",4,16,2,0,0,0,7,0,18,0,0,1,9581,1,2,2,13,0,0,1,0
